Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
103_LC064	20.92	1251058.0
103_LC114	30.2	1080605.0
103_MC026	19.39	1108634.0
103_MC027	31.87	1603693.0
108_LC007	28.37	1046808.0
108_LC062	13.49	1135128.0
108_LC122	27.89	1726775.0
108_MC019	24.91	2778348.0
113_LC013	31.15	2130519.0
113_LC016	28.37	2339071.0
113_LC077	57.78	1296.0
113_MC002	31.81	1602416.0
118_LC018	37.74	3430513.0
118_LC110	29.43	1760652.0
118_LC124	32.83	2920739.0
118_LC126	34.34	1634537.0
123_LC024	57.71	6406043.0
123_LC058	43.84	3320099.0
123_LC123	31.18	2652504.0
123_LC157	49.22	7187222.0
128_LC101	29.94	963238.0
128_LC125	21.97	1674676.0
128_LC127	33.93	2201585.0
128_LC129	29.19	1988902.0
133_MC005	36.54	1938695.0
136_LC064	47.73	6684257.0
136_LC079	42.93	2960653.0
136_LC101	48.6	3039822.0
136_MC011	48.24	6351658.0
13_713	35.3	2764872.0
13_N48	24.89	994247.0
13_N59	0.0	0.0
140_LC062	40.2	4972896.0
140_LC077	51.77	7365074.0
140_LC110	52.03	5720268.0
140_MC027	42.24	3839244.0
144_LC088	52.11	5188075.0
144_LC114	42.56	3296365.0
144_MC014	48.82	5982168.0
144_MC026	29.51	2655571.0
148_LC085	45.09	4809136.0
148_LC129	47.42	6340509.0
148_MC005	39.55	3834817.0
148_MC019	43.57	6280077.0
152_LC124	44.51	5197011.0
152_LC125	42.71	6078282.0
152_LC126	47.03	5566013.0
152_LC127	51.13	5670618.0
156_LC007	47.69	4598649.0
156_LC018	50.87	4848224.0
156_LC024	43.12	6542060.0
156_LC058	43.08	3611085.0
160_LC013	51.23	6004476.0
160_LC123	41.73	3872811.0
160_LC157	54.38	3508728.0
160_MC002	43.87	4344004.0
164_LC016	43.47	4168731.0
164_LC048	51.64	4461474.0
164_LC115	40.81	4487195.0
164_LC122	52.62	4098185.0
168_LC003	38.62	3873296.0
168_LC045	45.38	3023671.0
168_LC055	47.38	2849363.0
168_MC032	43.58	3024136.0
172_LC005	55.57	8509505.0
172_LC049	51.85	6878809.0
172_LC053	49.56	6114697.0
172_LC056	51.25	6459941.0
176_LC041	49.34	5519278.0
176_LC042	53.27	5582665.0
176_LC043	52.95	5574716.0
176_LC052	49.25	7198262.0
180_LC078	46.5	5431131.0
184_1455	59.71	4451473.0
184_1463	51.83	7579974.0
184_N46	43.97	5509939.0
184_N72	49.16	4730062.0
188_3343	44.18	5715678.0
188_4503	46.37	5237698.0
188_N60	45.12	6578282.0
188_N70	44.23	3887339.0
18_1280	39.32	2759791.0
18_1340	17.64	1208854.0
18_N60	1.76	78677.0
192_1280	35.07	4403846.0
192_3342	48.68	5877858.0
192_3420	53.14	6251146.0
192_N49	54.19	6264823.0
196_1004	39.77	1976104.0
196_1452	53.62	7401211.0
196_1470	38.72	2993479.0
196_N67	45.42	5459160.0
200_4360	48.77	6839947.0
200_4616	40.79	5173303.0
200_N59	43.94	5598988.0
200_N73	40.6	3264160.0
204_1332	51.31	8036651.0
204_1340	46.73	5951835.0
204_689	40.72	4188394.0
204_765	51.9	3729385.0
208_713	57.34	6334311.0
208_N52	44.78	4284175.0
208_N54	52.11	5109097.0
208_N56	45.4	4113163.0
212_699	37.12	4402044.0
212_741	42.48	4384034.0
212_753	34.69	3033510.0
212_N48	36.16	3611889.0
216_3446	51.21	8092215.0
216_693	45.73	4139718.0
216_N50	51.65	6577857.0
216_N58	49.0	5029666.0
